id;libelle;code;description
1;Syrian user-facing;AI;Gorgeous
2;Soft cross-platform;Berkshire secondary violet;Extended Bûcherie Baby
3;payment quantifying bricks-and-clicks;azure;redundant centrafricaine
4;array;action-items;Versatile
5;Ergonomic Poitou-Charentes turquoise;service-desk;up silver a
6;Handcrafted Concrete Slovaquie;c Car Licensed;backing Card
7;Architecte;Molière;Steel c
8;orange;experiences e-business ability;Bourgogne software front-end
9;Soap;extranet De-engineered;Music lavender Executif
10;bandwidth Gorgeous productize;XSS bluetooth;FTP implement
