id;raison_sociale;adresse;email;telephone;piece_jointe;numero_registre_commerce;date;sigle;numero_identite_fiscale
1;Pound c override;withdrawal plum Directeur;Michel2@yahoo.fr;0448009799;Account synthesize;utilisation;2021-11-03T23:25:04;input;mindshare Lorraine
2;Gorgeous Bedfordshire;back Frozen;Rmi47@yahoo.fr;0596863096;Incredible Garden;orchestrate silver Dominique;2021-11-04T11:06:05;Frozen Cotton;Handcrafted
3;Polarised customer;b sky plum;Brunehaut.Gautier@yahoo.fr;+33 172285339;intuitive;parsing;2021-11-04T04:20:46;Incredible open-source;functionalities Shoes
4;Granite;back Irlande best-of-breed;Jocelyne56@yahoo.fr;0254224440;Shoes;payment Loan;2021-11-03T19:36:02;synthesize Inverse system;Licensed Account generate
5;transmitter Îles;Avon metrics;Amaliane_Roux14@yahoo.fr;+33 688358374;grow Cotton;invoice Licensed;2021-11-04T11:01:00;c;capacitor real-time Renminbi
6;full-range;Incredible optical;Alos.Picard33@gmail.com;0299740385;Saint-Bernard Specialiste;eyeballs copy;2021-11-03T12:33:16;Bretagne;Mouse Loan
7;national invoice compress;Refined;Plagie.Petit5@hotmail.fr;0491389793;Kids generate transform;functionalities transition Licensed;2021-11-04T00:23:14;Checking Practical;Burkina
8;Bacon;port;Apolline64@yahoo.fr;0748572158;Steel Technicien c;benchmark Home copy;2021-11-03T17:45:24;e-tailers Midi-Pyrénées;Panoramas de alarm
9;client-server microchip;Cambridgeshire Île-de-France;Anstrudie_Leroux30@hotmail.fr;0438770395;concept Concrete;transmit RAM Lesotho;2021-11-04T07:40:49;connect generating;Enterprise-wide
10;c Money Soft;infrastructures;Aurian.Gautier@hotmail.fr;0582491260;Ergonomic;AI Superviseur;2021-11-04T09:19:54;Polarised Tala;Steel Ergonomic
